site_id,window_start,ion,concentration
Q1,1990-03-06,ca_mgl,4.291538461538462
Q1,1990-03-06,nh4n_ugl,NA
Q1,1990-05-08,k_mgl,1.238
Q1,1990-05-08,no3n_ugl,208.1
Q1,1990-05-08,mg_mgl,3.11
Q1,1990-05-08,ca_mgl,5.267
Q1,1990-05-08,nh4n_ugl,NA
Q1,1990-07-10,k_mgl,1.0133333333333334
Q1,1990-07-10,no3n_ugl,117.44444444444444
Q1,1990-07-10,mg_mgl,3.2533333333333334
Q1,1990-07-10,ca_mgl,5.6433333333333335
Q1,1990-07-10,nh4n_ugl,NA
Q1,1990-09-11,k_mgl,0.9322222222222222
Q1,1990-09-11,no3n_ugl,97.83333333333333
Q1,1990-09-11,mg_mgl,2.997777777777778
Q1,1990-09-11,ca_mgl,5.207777777777778
Q1,1990-09-11,nh4n_ugl,NA
Q1,1990-11-13,k_mgl,1.0736363636363637
Q1,1990-11-13,no3n_ugl,132.0909090909091
Q1,1990-11-13,mg_mgl,2.7827272727272727
Q1,1990-11-13,ca_mgl,4.642727272727273
Q1,1990-11-13,nh4n_ugl,NA
Q1,1991-01-15,k_mgl,0.8144444444444444
Q1,1991-01-15,no3n_ugl,87.85714285714286
Q1,1991-01-15,mg_mgl,3.223333333333333
Q1,1991-01-15,ca_mgl,5.7844444444444445
Q1,1991-01-15,nh4n_ugl,NA
Q1,1991-03-19,k_mgl,0.8333333333333334
Q1,1991-03-19,no3n_ugl,59.77777777777778
Q1,1991-03-19,mg_mgl,2.9811111111111113
Q1,1991-03-19,ca_mgl,5.421111111111111
Q1,1991-03-19,nh4n_ugl,NA
Q1,1991-05-21,k_mgl,0.914
Q1,1991-05-21,no3n_ugl,54.75
Q1,1991-05-21,mg_mgl,3.0629999999999997
Q1,1991-05-21,ca_mgl,5.314
Q1,1991-05-21,nh4n_ugl,NA
Q1,1991-07-23,k_mgl,1.012
Q1,1991-07-23,no3n_ugl,40.77777777777778
Q1,1991-07-23,mg_mgl,3.801
Q1,1991-07-23,ca_mgl,6.164
Q1,1991-07-23,nh4n_ugl,NA
Q1,1991-09-24,k_mgl,1.1225
Q1,1991-09-24,no3n_ugl,80.5
Q1,1991-09-24,mg_mgl,2.8266666666666667
Q1,1991-09-24,ca_mgl,4.400833333333333
Q1,1991-09-24,nh4n_ugl,NA
Q1,1991-11-26,k_mgl,1.1477777777777778
Q1,1991-11-26,no3n_ugl,188.375
Q1,1991-11-26,mg_mgl,3.0455555555555556
Q1,1991-11-26,ca_mgl,5.041111111111111
Q1,1991-11-26,nh4n_ugl,NA
Q1,1992-01-28,k_mgl,1.1520000000000001
Q1,1992-01-28,no3n_ugl,151
Q1,1992-01-28,mg_mgl,3.128
Q1,1992-01-28,ca_mgl,5.376
Q1,1992-01-28,nh4n_ugl,NA
Q1,1992-03-31,k_mgl,1.051111111111111
Q1,1992-03-31,no3n_ugl,63.125
Q1,1992-03-31,mg_mgl,3.3244444444444445
Q1,1992-03-31,ca_mgl,5.618888888888889
Q1,1992-03-31,nh4n_ugl,NA
Q1,1992-06-02,k_mgl,1.1566666666666667
Q1,1992-06-02,no3n_ugl,58.25
Q1,1992-06-02,mg_mgl,2.8633333333333333
Q1,1992-06-02,ca_mgl,4.7877777777777775
Q1,1992-06-02,nh4n_ugl,NA
Q1,1992-08-04,k_mgl,1.1144444444444446
Q1,1992-08-04,no3n_ugl,102.66666666666667
Q1,1992-08-04,mg_mgl,3.236666666666667
Q1,1992-08-04,ca_mgl,5.694444444444445
Q1,1992-08-04,nh4n_ugl,NA
Q1,1992-10-06,k_mgl,0.9877777777777778
Q1,1992-10-06,no3n_ugl,76.28571428571429
Q1,1992-10-06,mg_mgl,3.002222222222222
Q1,1992-10-06,ca_mgl,5.384444444444444
Q1,1992-10-06,nh4n_ugl,NA
Q1,1992-12-08,k_mgl,1.0822222222222222
Q1,1992-12-08,no3n_ugl,20.5
Q1,1992-12-08,mg_mgl,2.897777777777778
Q1,1992-12-08,ca_mgl,4.845555555555555
Q1,1992-12-08,nh4n_ugl,NA
Q1,1993-02-09,k_mgl,1.12
Q1,1993-02-09,no3n_ugl,125.33333333333333
Q1,1993-02-09,mg_mgl,3.4466666666666668
Q1,1993-02-09,ca_mgl,5.72
Q1,1993-02-09,nh4n_ugl,NA
Q1,1993-04-13,k_mgl,1.22
Q1,1993-04-13,no3n_ugl,69.11111111111111
Q1,1993-04-13,mg_mgl,3.4755555555555557
Q1,1993-04-13,ca_mgl,5.415555555555556
Q1,1993-04-13,nh4n_ugl,NA
Q1,1993-06-15,k_mgl,1.018888888888889
Q1,1993-06-15,no3n_ugl,39.2
Q1,1993-06-15,mg_mgl,2.9566666666666666
Q1,1993-06-15,ca_mgl,5.483333333333333
Q1,1993-06-15,nh4n_ugl,NA
Q1,1993-08-17,k_mgl,1.0933333333333333
Q1,1993-08-17,no3n_ugl,43.111111111111114
Q1,1993-08-17,mg_mgl,3.281111111111111
Q1,1993-08-17,ca_mgl,5.704444444444444
Q1,1993-08-17,nh4n_ugl,NA
Q1,1993-10-19,k_mgl,1.1277777777777778
Q1,1993-10-19,no3n_ugl,12.444444444444445
Q1,1993-10-19,mg_mgl,3.2733333333333334
Q1,1993-10-19,ca_mgl,5.831111111111111
Q1,1993-10-19,nh4n_ugl,NA
Q1,1993-12-21,k_mgl,1.0355555555555556
Q1,1993-12-21,no3n_ugl,25.333333333333332
Q1,1993-12-21,mg_mgl,2.8844444444444446
Q1,1993-12-21,ca_mgl,5.3133333333333335
Q1,1993-12-21,nh4n_ugl,NA
Q1,1994-02-22,k_mgl,1.0655555555555556
Q1,1994-02-22,no3n_ugl,86.75
Q1,1994-02-22,mg_mgl,3.3433333333333333
Q1,1994-02-22,ca_mgl,5.968888888888889
Q1,1994-02-22,nh4n_ugl,NA
Q1,1994-04-26,k_mgl,1.1566666666666667
Q1,1994-04-26,no3n_ugl,17.444444444444443
Q1,1994-04-26,mg_mgl,3.7
Q1,1994-04-26,ca_mgl,6.6466666666666665
Q1,1994-04-26,nh4n_ugl,NA
Q1,1994-06-28,k_mgl,1.143
Q1,1994-06-28,no3n_ugl,94.75
Q1,1994-06-28,mg_mgl,3.505
Q1,1994-06-28,ca_mgl,6.196
Q1,1994-06-28,nh4n_ugl,NA
Q1,1994-08-30,k_mgl,1.22
Q1,1994-08-30,no3n_ugl,NA
Q1,1994-08-30,mg_mgl,3.3455555555555554
Q1,1994-08-30,ca_mgl,6.12
Q1,1994-08-30,nh4n_ugl,NA
Q1,1994-11-01,k_mgl,1.0988888888888888
Q1,1994-11-01,no3n_ugl,109
Q1,1994-11-01,mg_mgl,3.0444444444444443
Q1,1994-11-01,ca_mgl,5.645555555555555
Q1,1994-11-01,nh4n_ugl,NA
Q1,1995-01-03,k_mgl,1.235
Q1,1995-01-03,no3n_ugl,NA
Q1,1995-01-03,mg_mgl,3.67375
Q1,1995-01-03,ca_mgl,6.26375
Q1,1995-01-03,nh4n_ugl,NA
Q1,1995-03-07,k_mgl,0.9642857142857143
Q1,1995-03-07,no3n_ugl,NA
Q1,1995-03-07,mg_mgl,3.182857142857143
Q1,1995-03-07,ca_mgl,5.615714285714286
Q1,1995-03-07,nh4n_ugl,NA
Q1,1995-05-09,k_mgl,1.3125
Q1,1995-05-09,no3n_ugl,NA
Q1,1995-05-09,mg_mgl,3.3425000000000002
Q1,1995-05-09,ca_mgl,5.79
Q1,1995-05-09,nh4n_ugl,NA
Q1,1995-07-11,k_mgl,0.9066666666666666
Q1,1995-07-11,no3n_ugl,NA
Q1,1995-07-11,mg_mgl,3.27
Q1,1995-07-11,ca_mgl,5.82
Q1,1995-07-11,nh4n_ugl,NA
Q1,1995-09-12,k_mgl,NA
Q1,1995-09-12,no3n_ugl,NA
Q1,1995-09-12,mg_mgl,NA
Q1,1995-09-12,ca_mgl,NA
Q1,1995-09-12,nh4n_ugl,NA
Q1,1995-11-14,k_mgl,1.06
Q1,1995-11-14,no3n_ugl,NA
Q1,1995-11-14,mg_mgl,2.7640000000000002
Q1,1995-11-14,ca_mgl,4.958
Q1,1995-11-14,nh4n_ugl,NA
Q1,1996-01-16,k_mgl,1.0822222222222222
Q1,1996-01-16,no3n_ugl,NA
Q1,1996-01-16,mg_mgl,3.1866666666666665
Q1,1996-01-16,ca_mgl,5.49
Q1,1996-01-16,nh4n_ugl,NA
Q1,1996-03-19,k_mgl,1.1522222222222223
Q1,1996-03-19,no3n_ugl,NA
Q1,1996-03-19,mg_mgl,3.41
Q1,1996-03-19,ca_mgl,5.72
Q1,1996-03-19,nh4n_ugl,NA
Q1,1996-05-21,k_mgl,1.1422222222222222
Q1,1996-05-21,no3n_ugl,NA
Q1,1996-05-21,mg_mgl,3.2244444444444444
Q1,1996-05-21,ca_mgl,5.595555555555555
Q1,1996-05-21,nh4n_ugl,NA
Q1,1996-07-23,k_mgl,1.208888888888889
Q1,1996-07-23,no3n_ugl,47
Q1,1996-07-23,mg_mgl,3.6144444444444446
Q1,1996-07-23,ca_mgl,6.101111111111111
Q1,1996-07-23,nh4n_ugl,NA
Q1,1996-09-24,k_mgl,1.055
Q1,1996-09-24,no3n_ugl,204.33333333333334
Q1,1996-09-24,mg_mgl,2.98875
Q1,1996-09-24,ca_mgl,5.251250000000001
Q1,1996-09-24,nh4n_ugl,NA
Q1,1996-11-26,k_mgl,1.2714285714285714
Q1,1996-11-26,no3n_ugl,218.57142857142858
Q1,1996-11-26,mg_mgl,3.1742857142857144
Q1,1996-11-26,ca_mgl,5.635714285714285
Q1,1996-11-26,nh4n_ugl,NA
Q1,1997-01-28,k_mgl,1.01
Q1,1997-01-28,no3n_ugl,208.77777777777777
Q1,1997-01-28,mg_mgl,2.9033333333333333
Q1,1997-01-28,ca_mgl,5.078888888888889
Q1,1997-01-28,nh4n_ugl,NA
Q1,1997-04-01,k_mgl,1.1355555555555557
Q1,1997-04-01,no3n_ugl,191.71428571428572
Q1,1997-04-01,mg_mgl,3.1577777777777776
Q1,1997-04-01,ca_mgl,5.774444444444445
Q1,1997-04-01,nh4n_ugl,NA
Q1,1997-06-03,k_mgl,0.9544444444444444
Q1,1997-06-03,no3n_ugl,174.375
Q1,1997-06-03,mg_mgl,2.9388888888888887
Q1,1997-06-03,ca_mgl,5.2844444444444445
Q1,1997-06-03,nh4n_ugl,NA
Q1,1997-08-05,k_mgl,0.8622222222222222
Q1,1997-08-05,no3n_ugl,118.5
Q1,1997-08-05,mg_mgl,3.0522222222222224
Q1,1997-08-05,ca_mgl,5.723333333333333
Q1,1997-08-05,nh4n_ugl,NA
Q1,1997-10-07,k_mgl,1.07375
Q1,1997-10-07,no3n_ugl,119.625
Q1,1997-10-07,mg_mgl,2.5675
Q1,1997-10-07,ca_mgl,4.40375
Q1,1997-10-07,nh4n_ugl,NA
Q1,1997-12-09,k_mgl,0.7342857142857143
Q1,1997-12-09,no3n_ugl,119.42857142857143
Q1,1997-12-09,mg_mgl,2.0275
Q1,1997-12-09,ca_mgl,4.19625
Q1,1997-12-09,nh4n_ugl,23
Q1,1998-02-10,k_mgl,1.251111111111111
Q1,1998-02-10,no3n_ugl,96.11111111111111
Q1,1998-02-10,mg_mgl,2.56
Q1,1998-02-10,ca_mgl,4.17
Q1,1998-02-10,nh4n_ugl,14.833333333333334
Q1,1998-04-14,k_mgl,0.8728571428571429
Q1,1998-04-14,no3n_ugl,77.66666666666667
Q1,1998-04-14,mg_mgl,2.2175
Q1,1998-04-14,ca_mgl,4.22
Q1,1998-04-14,nh4n_ugl,25
Q1,1998-06-16,k_mgl,1.252857142857143
Q1,1998-06-16,no3n_ugl,104.66666666666667
Q1,1998-06-16,mg_mgl,2.8966666666666665
Q1,1998-06-16,ca_mgl,4.777777777777778
Q1,1998-06-16,nh4n_ugl,23.75
Q1,1998-08-18,k_mgl,1.0613333333333332
Q1,1998-08-18,no3n_ugl,160
Q1,1998-08-18,mg_mgl,2.473333333333333
Q1,1998-08-18,ca_mgl,4.69
Q1,1998-08-18,nh4n_ugl,8.285714285714286
Q1,1998-10-20,k_mgl,1.1188888888888888
Q1,1998-10-20,no3n_ugl,228
Q1,1998-10-20,mg_mgl,2.4522222222222223
Q1,1998-10-20,ca_mgl,4.731111111111111
Q1,1998-10-20,nh4n_ugl,10
Q1,1998-12-22,k_mgl,1.0966666666666667
Q1,1998-12-22,no3n_ugl,222.11111111111111
Q1,1998-12-22,mg_mgl,2.8377777777777777
Q1,1998-12-22,ca_mgl,4.88
Q1,1998-12-22,nh4n_ugl,13.666666666666666
Q1,1999-02-23,k_mgl,1.0455555555555556
Q1,1999-02-23,no3n_ugl,261.8888888888889
Q1,1999-02-23,mg_mgl,3.1533333333333333
Q1,1999-02-23,ca_mgl,5.883333333333334
Q1,1999-02-23,nh4n_ugl,18.4
Q1,1999-04-27,k_mgl,1.0325
Q1,1999-04-27,no3n_ugl,165.66666666666666
Q1,1999-04-27,mg_mgl,2.93
Q1,1999-04-27,ca_mgl,5.094444444444444
Q1,1999-04-27,nh4n_ugl,9
Q1,1999-06-29,k_mgl,1.028888888888889
Q1,1999-06-29,no3n_ugl,169.22222222222223
Q1,1999-06-29,mg_mgl,2.8088888888888888
Q1,1999-06-29,ca_mgl,4.562222222222222
Q1,1999-06-29,nh4n_ugl,10
Q1,1999-08-31,k_mgl,0.99625
Q1,1999-08-31,no3n_ugl,158.55555555555554
Q1,1999-08-31,mg_mgl,2.6755555555555555
Q1,1999-08-31,ca_mgl,4.452222222222222
Q1,1999-08-31,nh4n_ugl,13.6
Q1,1999-11-02,k_mgl,0.9877777777777778
Q1,1999-11-02,no3n_ugl,199.22222222222223
Q1,1999-11-02,mg_mgl,2.756666666666667
Q1,1999-11-02,ca_mgl,4.286666666666667
Q1,1999-11-02,nh4n_ugl,12.4
Q1,2000-01-04,k_mgl,0.8988888888888888
Q1,2000-01-04,no3n_ugl,220.11111111111111
Q1,2000-01-04,mg_mgl,2.9544444444444444
Q1,2000-01-04,ca_mgl,5.113333333333333
Q1,2000-01-04,nh4n_ugl,7.75
Q1,2000-03-07,k_mgl,0.8733333333333333
Q1,2000-03-07,no3n_ugl,215.55555555555554
Q1,2000-03-07,mg_mgl,3.34
Q1,2000-03-07,ca_mgl,6.064444444444445
Q1,2000-03-07,nh4n_ugl,NA
Q1,2000-05-09,k_mgl,0.8922222222222222
Q1,2000-05-09,no3n_ugl,171.55555555555554
Q1,2000-05-09,mg_mgl,2.9611111111111112
Q1,2000-05-09,ca_mgl,4.9622222222222225
Q1,2000-05-09,nh4n_ugl,11
Q1,2000-07-11,k_mgl,0.8344444444444444
Q1,2000-07-11,no3n_ugl,176.77777777777777
Q1,2000-07-11,mg_mgl,3.25
Q1,2000-07-11,ca_mgl,6.1
Q1,2000-07-11,nh4n_ugl,10.8
Q1,2000-09-12,k_mgl,0.9577777777777777
Q1,2000-09-12,no3n_ugl,161
Q1,2000-09-12,mg_mgl,2.792222222222222
Q1,2000-09-12,ca_mgl,4.733333333333333
Q1,2000-09-12,nh4n_ugl,9.4
Q1,2000-11-14,k_mgl,0.9922222222222222
Q1,2000-11-14,no3n_ugl,190.22222222222223
Q1,2000-11-14,mg_mgl,3.292222222222222
Q1,2000-11-14,ca_mgl,5.567777777777778
Q1,2000-11-14,nh4n_ugl,10.166666666666666
Q1,2001-01-16,k_mgl,0.8877777777777778
Q1,2001-01-16,no3n_ugl,178.88888888888889
Q1,2001-01-16,mg_mgl,3.2944444444444443
Q1,2001-01-16,ca_mgl,5.704444444444444
Q1,2001-01-16,nh4n_ugl,9.166666666666666
Q1,2001-03-20,k_mgl,1.0322222222222222
Q1,2001-03-20,no3n_ugl,152.66666666666666
Q1,2001-03-20,mg_mgl,3.21
Q1,2001-03-20,ca_mgl,5.986666666666666
Q1,2001-03-20,nh4n_ugl,7.2
Q1,2001-05-22,k_mgl,0.93
Q1,2001-05-22,no3n_ugl,146.22222222222223
Q1,2001-05-22,mg_mgl,3.071111111111111
Q1,2001-05-22,ca_mgl,5.683333333333334
Q1,2001-05-22,nh4n_ugl,9
Q1,2001-07-24,k_mgl,1.0022222222222221
Q1,2001-07-24,no3n_ugl,150.22222222222223
Q1,2001-07-24,mg_mgl,3.3677777777777775
Q1,2001-07-24,ca_mgl,6.368888888888889
Q1,2001-07-24,nh4n_ugl,8.75
Q1,2001-09-25,k_mgl,1.0633333333333332
Q1,2001-09-25,no3n_ugl,190.66666666666666
Q1,2001-09-25,mg_mgl,2.9966666666666666
Q1,2001-09-25,ca_mgl,5.597777777777778
Q1,2001-09-25,nh4n_ugl,13.5
Q1,2001-11-27,k_mgl,1.0622222222222222
Q1,2001-11-27,no3n_ugl,193.33333333333334
Q1,2001-11-27,mg_mgl,3.1122222222222224
Q1,2001-11-27,ca_mgl,5.321111111111111
Q1,2001-11-27,nh4n_ugl,18.714285714285715
Q1,2002-01-29,k_mgl,0.98
Q1,2002-01-29,no3n_ugl,193
Q1,2002-01-29,mg_mgl,3.25375
Q1,2002-01-29,ca_mgl,5.8975
Q1,2002-01-29,nh4n_ugl,13
Q1,2002-04-02,k_mgl,1.0166666666666666
Q1,2002-04-02,no3n_ugl,134.75
Q1,2002-04-02,mg_mgl,2.727777777777778
Q1,2002-04-02,ca_mgl,4.726666666666667
Q1,2002-04-02,nh4n_ugl,12.555555555555555
Q1,2002-06-04,k_mgl,0.93
Q1,2002-06-04,no3n_ugl,149.22222222222223
Q1,2002-06-04,mg_mgl,3.2544444444444447
Q1,2002-06-04,ca_mgl,5.492222222222222
Q1,2002-06-04,nh4n_ugl,16.77777777777778
Q1,2002-08-06,k_mgl,0.8777777777777778
Q1,2002-08-06,no3n_ugl,168
Q1,2002-08-06,mg_mgl,3.3422222222222224
Q1,2002-08-06,ca_mgl,6.198888888888889
Q1,2002-08-06,nh4n_ugl,15.875
Q1,2002-10-08,k_mgl,0.8788888888888888
Q1,2002-10-08,no3n_ugl,148.77777777777777
Q1,2002-10-08,mg_mgl,2.917777777777778
Q1,2002-10-08,ca_mgl,5.633333333333333
Q1,2002-10-08,nh4n_ugl,17.11111111111111
Q1,2002-12-10,k_mgl,0.8444444444444444
Q1,2002-12-10,no3n_ugl,168.22222222222223
Q1,2002-12-10,mg_mgl,2.6455555555555557
Q1,2002-12-10,ca_mgl,5.992222222222222
Q1,2002-12-10,nh4n_ugl,17
Q1,2003-02-11,k_mgl,0.8644444444444445
Q1,2003-02-11,no3n_ugl,156.11111111111111
Q1,2003-02-11,mg_mgl,3.4811111111111113
Q1,2003-02-11,ca_mgl,6.868888888888889
Q1,2003-02-11,nh4n_ugl,11.777777777777779
Q1,2003-04-15,k_mgl,0.8744444444444445
Q1,2003-04-15,no3n_ugl,152.55555555555554
Q1,2003-04-15,mg_mgl,2.6122222222222224
Q1,2003-04-15,ca_mgl,4.404444444444445
Q1,2003-04-15,nh4n_ugl,13.375
Q1,2003-06-17,k_mgl,0.9688888888888889
Q1,2003-06-17,no3n_ugl,163.66666666666666
Q1,2003-06-17,mg_mgl,3.1855555555555557
Q1,2003-06-17,ca_mgl,5.041111111111111
Q1,2003-06-17,nh4n_ugl,11.285714285714286
Q1,2003-08-19,k_mgl,1.018888888888889
Q1,2003-08-19,no3n_ugl,151.66666666666666
Q1,2003-08-19,mg_mgl,2.411111111111111
Q1,2003-08-19,ca_mgl,4.685555555555555
Q1,2003-08-19,nh4n_ugl,20.5
Q1,2003-10-21,k_mgl,1.02
Q1,2003-10-21,no3n_ugl,168
Q1,2003-10-21,mg_mgl,2.901111111111111
Q1,2003-10-21,ca_mgl,5.097777777777778
Q1,2003-10-21,nh4n_ugl,14.2
Q1,2003-12-23,k_mgl,0.8822222222222222
Q1,2003-12-23,no3n_ugl,177.75
Q1,2003-12-23,mg_mgl,2.7600000000000002
Q1,2003-12-23,ca_mgl,4.656666666666666
Q1,2003-12-23,nh4n_ugl,20.428571428571427
Q1,2004-02-24,k_mgl,0.9577777777777778
Q1,2004-02-24,no3n_ugl,129.44444444444446
Q1,2004-02-24,mg_mgl,2.9233333333333333
Q1,2004-02-24,ca_mgl,5.204444444444444
Q1,2004-02-24,nh4n_ugl,8.833333333333334
Q1,2004-04-27,k_mgl,0.9944444444444445
Q1,2004-04-27,no3n_ugl,139.11111111111111
Q1,2004-04-27,mg_mgl,2.3955555555555557
Q1,2004-04-27,ca_mgl,4.5088888888888885
Q1,2004-04-27,nh4n_ugl,8
Q1,2004-06-29,k_mgl,1.1022222222222222
Q1,2004-06-29,no3n_ugl,124.71428571428571
Q1,2004-06-29,mg_mgl,3.4555555555555557
Q1,2004-06-29,ca_mgl,6.461111111111111
Q1,2004-06-29,nh4n_ugl,14.4
Q1,2004-08-31,k_mgl,0.9288888888888889
Q1,2004-08-31,no3n_ugl,158.28571428571428
Q1,2004-08-31,mg_mgl,2.8233333333333333
Q1,2004-08-31,ca_mgl,5.762222222222222
Q1,2004-08-31,nh4n_ugl,15
Q1,2004-11-02,k_mgl,1.0566666666666666
Q1,2004-11-02,no3n_ugl,105.66666666666667
Q1,2004-11-02,mg_mgl,2.537777777777778
Q1,2004-11-02,ca_mgl,5.052222222222222
Q1,2004-11-02,nh4n_ugl,15.5
Q1,2005-01-04,k_mgl,0.7988888888888889
Q1,2005-01-04,no3n_ugl,175.77777777777777
Q1,2005-01-04,mg_mgl,3.0855555555555556
Q1,2005-01-04,ca_mgl,5.5
Q1,2005-01-04,nh4n_ugl,12
Q1,2005-03-08,k_mgl,0.8811111111111111
Q1,2005-03-08,no3n_ugl,180.66666666666666
Q1,2005-03-08,mg_mgl,3.278888888888889
Q1,2005-03-08,ca_mgl,5.848888888888889
Q1,2005-03-08,nh4n_ugl,19.333333333333332
Q1,2005-05-10,k_mgl,1.041111111111111
Q1,2005-05-10,no3n_ugl,123.66666666666667
Q1,2005-05-10,mg_mgl,2.7311111111111113
Q1,2005-05-10,ca_mgl,5.013333333333334
Q1,2005-05-10,nh4n_ugl,14.5
Q1,2005-07-12,k_mgl,0.7844444444444445
Q1,2005-07-12,no3n_ugl,141.375
Q1,2005-07-12,mg_mgl,3.0944444444444446
Q1,2005-07-12,ca_mgl,5.741111111111111
Q1,2005-07-12,nh4n_ugl,10
Q1,2005-09-13,k_mgl,0.8633333333333333
Q1,2005-09-13,no3n_ugl,149.77777777777777
